n,tiempo,memoria
344,0.000000,1384
345,0.000000,1388
346,0.000000,1392
347,0.000000,1396
348,0.000000,1400
349,0.000000,1404
350,0.000000,1408
351,0.000000,1412
352,0.000000,1416
353,0.000000,1420
354,0.000000,1424
355,0.000000,1428
356,0.000000,1432
357,0.000000,1436
358,0.000000,1440
359,0.000000,1444
360,0.000000,1448
361,0.000000,1452
362,0.000000,1456
363,0.000000,1460
364,0.000000,1464
365,0.000000,1468
366,0.000000,1472
367,0.000000,1476
368,0.000000,1480
369,0.000000,1484
370,0.000000,1488
371,0.000000,1492
372,0.000000,1496
373,0.000000,1500
374,0.000000,1504
375,0.000000,1508
376,0.000000,1512
377,0.000000,1516
378,0.000000,1520
379,0.000000,1524
380,0.000000,1528
381,0.000000,1532
382,0.000000,1536
383,0.000000,1540
384,0.000000,1544
385,0.000000,1548
386,0.000000,1552
387,0.000000,1556
388,0.000000,1560
389,0.000000,1564
390,0.000000,1568
391,0.000000,1572
392,0.000000,1576
393,0.000000,1580
394,0.000000,1584
395,0.000000,1588
396,0.000000,1592
397,0.000000,1596
398,0.000000,1600
399,0.000000,1604
400,0.000000,1608
401,0.000000,1612
402,0.000000,1616
403,0.000000,1620
404,0.000000,1624
405,0.000000,1628
406,0.000000,1632
407,0.000000,1636
408,0.000000,1640
409,0.000000,1644
410,0.000000,1648
411,0.000000,1652
412,0.000000,1656
413,0.000000,1660
414,0.000000,1664
415,0.000000,1668
416,0.000000,1672
417,0.000000,1676
418,0.000000,1680
419,0.000000,1684
420,0.000000,1688
421,0.000000,1692
422,0.000000,1696
423,0.000000,1700
424,0.000000,1704
425,0.000000,1708
426,0.000000,1712
427,0.000000,1716
428,0.000000,1720
429,0.000000,1724
430,0.000000,1728
431,0.000000,1732
432,0.000000,1736
433,0.000000,1740
434,0.000000,1744
435,0.000000,1748
436,0.000000,1752
437,0.000000,1756
438,0.000000,1760
439,0.000000,1764
440,0.000000,1768
441,0.000000,1772
442,0.000000,1776
443,0.000000,1780
444,0.000000,1784
445,0.000000,1788
446,0.000000,1792
447,0.000000,1796
448,0.000000,1800
449,0.000000,1804
450,0.000000,1808
451,0.000000,1812
452,0.000000,1816
453,0.000000,1820
454,0.000000,1824
455,0.000000,1828
456,0.000000,1832
457,0.000000,1836
458,0.000000,1840
459,0.000000,1844
460,0.000000,1848
461,0.000000,1852
462,0.000000,1856
463,0.000000,1860
464,0.000000,1864
465,0.000000,1868
466,0.000000,1872
467,0.000000,1876
468,0.000000,1880
469,0.000000,1884
470,0.000000,1888
471,0.000000,1892
472,0.000000,1896
473,0.000000,1900
474,0.000000,1904
475,0.000000,1908
476,0.000000,1912
477,0.000000,1916
478,0.000000,1920
479,0.000000,1924
480,0.000000,1928
481,0.000000,1932
482,0.000000,1936
483,0.000000,1940
484,0.000000,1944
485,0.000000,1948
486,0.000000,1952
487,0.000000,1956
488,0.000000,1960
489,0.000000,1964
490,0.000000,1968
491,0.000000,1972
492,0.000000,1976
493,0.000000,1980
494,0.000000,1984
495,0.000000,1988
496,0.000000,1992
497,0.000000,1996
498,0.000000,2000
499,0.000000,2004
