n,tiempo,memoria
133,4.020001506432891e-05,288
134,4.0399987483397126e-05,292
135,4.119999357499182e-05,296
136,4.089999129064381e-05,296
137,4.759998410008848e-05,296
138,4.1399995097890496e-05,296
139,4.199999966658652e-05,300
140,4.18000272475183e-05,304
141,4.230000195093453e-05,304
142,4.320000880397856e-05,304
143,4.320000880397856e-05,308
144,4.3400010326877236e-05,312
145,4.4400017941370606e-05,312
146,5.040000542066991e-05,312
147,4.4100015657022595e-05,316
148,4.429998807609081e-05,320
149,4.5199994929134846e-05,320
150,4.5199994929134846e-05,320
151,4.5199994929134846e-05,324
152,4.5599997974932194e-05,328
153,4.579999949783087e-05,328
154,4.630000330507755e-05,328
155,5.329999839887023e-05,332
156,4.709998029284179e-05,336
157,4.7299981815740466e-05,336
158,4.73999825771898e-05,336
159,4.859999171458185e-05,340
160,5.339999916031957e-05,344
161,4.8999994760379195e-05,344
162,4.9299997044727206e-05,344
163,4.919999628327787e-05,348
164,5.500001134350896e-05,352
165,4.990000161342323e-05,352
166,4.9700000090524554e-05,352
167,5.0499977078288794e-05,352
168,5.060000694356859e-05,356
169,5.15999854542315e-05,360
170,5.099998088553548e-05,360
171,5.169998621568084e-05,360
172,5.7900004321709275e-05,364
173,5.3099996875971556e-05,368
174,5.329999839887023e-05,368
175,5.310002597980201e-05,368
176,5.3499999921768904e-05,372
177,5.4100004490464926e-05,376
178,5.4199976148083806e-05,376
179,5.4899981478229165e-05,376
180,6.279998342506588e-05,380
181,5.630002124235034e-05,384
182,5.569998756982386e-05,384
183,8.480000542476773e-05,384
184,5.900001269765198e-05,388
185,5.7600002037361264e-05,392
186,5.6899996707215905e-05,392
187,5.709999823011458e-05,392
188,5.819997750222683e-05,396
189,5.7999975979328156e-05,400
190,5.879998207092285e-05,400
191,5.810000584460795e-05,400
192,6.0399994254112244e-05,404
193,5.940001574344933e-05,408
194,5.9699988923966885e-05,408
195,6.000002031214535e-05,408
196,6.120000034570694e-05,412
197,6.150000263005495e-05,416
198,6.120000034570694e-05,416
199,6.220000796020031e-05,420
200,6.140000186860561e-05,424
201,6.320001557469368e-05,424
202,6.2700011767447e-05,424
203,6.429999484680593e-05,428
204,6.479999865405262e-05,432
205,6.469999789260328e-05,432
206,6.560000474564731e-05,432
207,6.429999484680593e-05,436
208,7.340000593103468e-05,440
209,7.299997378140688e-05,440
210,6.51999725960195e-05,440
211,6.550000398419797e-05,444
212,6.500000017695129e-05,448
213,6.540000322274864e-05,448
214,8.120000711642206e-05,448
215,6.729998858645558e-05,452
216,6.750001921318471e-05,456
217,6.709998706355691e-05,456
218,6.739998934790492e-05,456
219,6.78999931551516e-05,460
220,7.600002572871745e-05,464
221,6.990000838413835e-05,464
222,7.109998841769993e-05,464
223,6.9500005338341e-05,468
224,7.020001066848636e-05,472
225,7.059998461045325e-05,472
226,8.739999611862004e-05,472
227,7.350000669248402e-05,476
228,7.129998994059861e-05,480
229,7.149999146349728e-05,480
230,7.149999146349728e-05,484
231,7.300000288523734e-05,488
232,7.389998063445091e-05,488
233,7.219999679364264e-05,488
234,7.2900002123788e-05,492
235,8.11999780125916e-05,496
236,7.320000440813601e-05,496
237,8.05000017862767e-05,496
238,7.430001278407872e-05,500
239,7.530002039857209e-05,504
240,7.609999738633633e-05,504
241,7.639999967068434e-05,504
242,7.639999967068434e-05,508
243,8.289999095723033e-05,512
244,7.609999738633633e-05,512
245,7.619999814778566e-05,512
246,7.680000271648169e-05,516
247,7.720000576227903e-05,520
248,8.479997632093728e-05,520
249,7.809998351149261e-05,524
250,7.830001413822174e-05,528
251,7.890001870691776e-05,528
252,7.88999896030873e-05,528
253,7.88999896030873e-05,532
254,8.699999307282269e-05,536
255,7.9699995694682e-05,536
256,8.100000559352338e-05,536
257,8.200001320801675e-05,572
258,8.150000940077007e-05,576
259,9.479999425821006e-05,576
260,8.310002158395946e-05,576
261,8.339999476447701e-05,580
262,8.439997327513993e-05,584
263,8.50000069476664e-05,584
264,9.159999899566174e-05,588
265,8.610001532360911e-05,592
266,0.0002730000123847276,592
267,0.00019669998437166214,592
268,0.00017419998766854405,596
269,0.00017270000535063446,600
270,0.00017490002210251987,600
271,0.00017809998826123774,600
272,0.00017869999282993376,604
273,0.00018100001034326851,608
274,0.0002479999966453761,608
275,0.0001981999957934022,608
276,0.00016460000188089907,612
277,0.00018169998656958342,616
278,0.0001669999910518527,616
279,0.00016599998343735933,620
280,0.00016909997793845832,624
281,0.00017359998309984803,624
282,0.00017169999773614109,624
283,0.000228599994443357,628
284,0.00014069999451749027,632
285,0.0001002000062726438,632
