n,tiempo,memoria
1,2.6999914553016424e-06,0
2,1.5999830793589354e-06,0
3,6.00004568696022e-07,0
4,3.00002284348011e-07,0
5,4.999747034162283e-07,0
6,9.199982741847634e-06,32
7,1.9999861251562834e-06,64
8,2.4999899324029684e-06,64
9,2.0999868866056204e-06,64
10,2.500019036233425e-06,64
11,2.9999937396496534e-06,64
12,3.2999960239976645e-06,64
13,4.6000059228390455e-06,64
14,6.399990525096655e-06,68
15,5.2000104915350676e-06,72
16,5.4000120144337416e-06,72
17,5.80001506023109e-06,72
18,6.199989002197981e-06,72
19,6.499991286545992e-06,72
20,2.5100016500800848e-05,72
21,7.800001185387373e-06,76
22,9.200011845678091e-06,80
23,9.899988071992993e-06,80
24,9.299983503296971e-06,80
25,9.500014130026102e-06,80
26,1.3500015484169126e-05,80
27,1.759998849593103e-05,80
28,1.1500000255182385e-05,84
29,1.1200027074664831e-05,88
30,1.2300006346777081e-05,88
31,1.2600008631125093e-05,88
32,1.270000939257443e-05,88
33,1.3199984095990658e-05,88
34,1.3900018529966474e-05,92
35,1.4499993994832039e-05,96
36,1.659998088143766e-05,96
37,1.6000005416572094e-05,96
38,1.7399986973032355e-05,96
39,1.7699989257380366e-05,96
40,1.819999306462705e-05,100
41,1.829999382607639e-05,104
42,1.930000144056976e-05,104
43,2.5100016500800848e-05,104
44,2.4100008886307478e-05,104
45,4.0099985199049115e-05,108
46,2.1599989850074053e-05,112
47,2.3699976736679673e-05,112
48,3.309999010525644e-05,112
49,2.300000051036477e-05,112
50,2.3100001271814108e-05,112
51,2.3900007363408804e-05,116
52,2.449998282827437e-05,120
53,2.4900014977902174e-05,120
54,2.5199988158419728e-05,120
55,2.5900022592395544e-05,120
56,2.5899993488565087e-05,124
57,2.680000034160912e-05,128
58,2.820001100189984e-05,128
59,2.8300011763349175e-05,128
60,3.709999145939946e-05,128
61,2.989999484270811e-05,132
62,2.9399991035461426e-05,136
63,3.029999788850546e-05,136
64,3.060000017285347e-05,136
65,3.57000099029392e-05,136
66,3.850000211969018e-05,140
67,3.239998477511108e-05,144
68,3.3199990866705775e-05,144
69,3.3800024539232254e-05,144
70,3.480000304989517e-05,144
71,3.530000685714185e-05,148
72,4.1000021155923605e-05,152
73,3.710002056322992e-05,152
74,3.7699996028095484e-05,152
75,3.759999526664615e-05,152
76,3.8700003642588854e-05,156
77,3.9000005926936865e-05,160
78,3.980001201853156e-05,160
79,3.9700011257082224e-05,160
80,4.05999890062958e-05,160
81,4.1399995097890496e-05,164
82,4.6900007873773575e-05,168
83,4.349998198449612e-05,168
84,4.4400017941370606e-05,168
85,4.420001641847193e-05,172
86,4.499999340623617e-05,176
87,4.499999340623617e-05,176
88,4.7600013203918934e-05,176
89,5.050000618211925e-05,176
90,4.830001853406429e-05,180
91,5.5500015150755644e-05,184
92,5.129998316988349e-05,184
93,4.919999628327787e-05,184
94,5.169998621568084e-05,184
95,5.09000092279166e-05,188
96,5.320002674125135e-05,192
97,5.5800017435103655e-05,192
98,5.77000027988106e-05,192
99,5.819997750222683e-05,196
100,5.77000027988106e-05,200
101,5.629999213851988e-05,200
102,7.670000195503235e-05,200
103,5.740000051446259e-05,200
104,6.560000474564731e-05,204
105,6.880000000819564e-05,208
106,6.120000034570694e-05,208
107,6.0699996538460255e-05,208
108,6.140000186860561e-05,212
109,6.489999941550195e-05,216
110,6.409999332390726e-05,216
111,6.469999789260328e-05,216
112,7.20999960321933e-05,216
113,6.580000626854599e-05,220
114,6.790002225898206e-05,224
115,6.690001464448869e-05,224
116,7.000000914558768e-05,224
117,7.150002056732774e-05,228
118,7.860001642256975e-05,232
119,7.189999450929463e-05,232
120,7.449998520314693e-05,232
121,7.650000043213367e-05,236
122,7.300000288523734e-05,240
123,7.960002403706312e-05,240
124,7.559999357908964e-05,240
125,7.670000195503235e-05,240
126,7.910002022981644e-05,244
127,7.680000271648169e-05,248
128,7.720000576227903e-05,248
129,8.379999781027436e-05,248
130,0.00011389999417588115,252
131,0.00011869997251778841,256
132,0.0001514999894425273,256
133,0.00018929998623207211,256
134,0.00013780000153928995,260
135,0.0001601999974809587,264
136,0.00013940001372247934,264
137,0.0001385000068694353,264
138,0.00015539999003522098,264
139,0.00014300001203082502,268
140,0.00014249997911974788,272
141,0.0001632999919820577,272
142,0.00014560000272467732,272
143,0.00014859999646432698,276
144,0.0001841000048443675,280
145,0.0001483999949414283,280
146,0.0001514999894425273,280
147,0.00016750002396292984,284
148,0.00016170000890269876,288
149,0.00016039999900385737,288
150,0.00016300001880154014,288
151,0.00018199998885393143,292
152,0.00018500001169741154,296
153,0.00017759998445399106,296
154,0.00019180000526830554,296
155,0.00018090000958181918,300
156,0.00018050000653602183,304
157,0.00019269998301751912,304
158,0.00018960001762025058,304
159,0.0001978000218514353,308
160,0.00018809997709468007,312
161,0.00019859999883919954,312
162,0.00017970000044442713,312
163,0.00012290000449866056,316
164,0.00011369999265298247,320
165,0.00011359999189153314,320
166,0.00011480000102892518,320
167,0.00011720001930370927,320
168,0.00011799999629147351,324
169,0.00011920000542886555,328
170,0.00012310000602155924,328
171,0.00012730000889860094,328
172,0.00012429998605512083,332
173,0.00012500002048909664,336
174,0.0001260999997612089,336
175,0.00013230001786723733,336
176,0.00023999999393709004,340
177,0.00018339999951422215,344
178,0.00018259999342262745,344
179,0.00020929999300278723,344
180,0.00020969999604858458,348
181,0.00020969999604858458,352
182,0.0002280999906361103,352
183,0.00019010002142749727,352
184,0.00016729999333620071,356
185,0.0001430999836884439,360
186,0.0001373999984934926,360
187,0.00014170000213198364,360
188,0.00014069999451749027,364
189,0.000149200001033023,368
190,0.00014230000670067966,368
191,0.00014109999756328762,368
192,0.00014269998064264655,372
193,0.00014200000441633165,376
194,0.00015469998470507562,376
195,0.00015440001152455807,376
196,0.00017179999849759042,380
197,0.00016369999502785504,384
198,0.00015860001440159976,384
199,0.00017289997776970267,388
200,0.00018259999342262745,392
201,0.00020360000780783594,392
202,0.00019109999993816018,392
203,0.0001923999807331711,396
204,0.00020199999562464654,400
205,0.00018649999401532114,400
206,0.0001613000058569014,400
207,0.00019699998665601015,404
208,0.00030339998193085194,408
209,0.00018519998411647975,408
210,0.00015899998834356666,408
211,0.00016599998343735933,412
212,0.00015330000314861536,416
213,0.00016820000018924475,416
214,0.00016120000509545207,416
215,0.00015540001913905144,420
216,0.00016149997827596962,424
217,0.0001674999948590994,424
218,0.00017590000061318278,424
219,0.00029830000130459666,428
220,0.0006085999775677919,432
221,0.0002998000127263367,432
222,0.00019699998665601015,432
223,0.0002148999774362892,436
224,0.00021949998335912824,440
225,0.0002514999941922724,440
226,0.000215600011870265,440
227,0.00033909999183379114,444
228,0.00023830001009628177,448
229,0.00020700000459328294,448
230,0.00019029999384656549,452
231,0.00019210000755265355,456
232,0.0001951000012923032,456
233,0.00019600000814534724,456
234,0.00019710001652128994,460
235,0.00020539999241009355,464
236,0.0002519999979995191,464
237,0.0002689999819267541,464
238,0.00023839998175390065,468
239,0.00024140000459738076,472
240,0.00025320000713691115,472
241,0.0002361999941058457,472
242,0.00020370000856928527,476
243,0.00020969999604858458,480
244,0.00021019999985583127,480
245,0.00020810001296922565,480
246,0.00020330000552348793,484
247,0.0001993000041693449,488
248,0.00019309998606331646,488
249,0.00019660001271404326,492
250,0.0001990000018849969,496
251,0.00021510000806301832,496
252,0.00020219999714754522,496
253,0.0003522000042721629,500
254,0.00047369999811053276,504
255,0.0002683000057004392,504
256,0.00022980000358074903,504
257,0.00022640000679530203,508
258,0.0002212999970652163,540
259,0.00022190000163391232,572
260,0.00022139999782666564,604
261,0.00034290002076886594,636
262,0.0003318000235594809,668
263,0.0002471999905537814,700
264,0.00023300002794712782,732
265,0.00023740000324323773,764
266,0.0002382999809924513,796
267,0.00024170000688172877,828
268,0.00024930000654421747,860
269,0.0002519999979995191,892
270,0.0002575000107754022,924
271,0.0002476999943610281,956
272,0.00025270000332966447,988
273,0.0002494000073056668,1020
274,0.00025599999935366213,1052
275,0.0003099000023212284,1084
276,0.0008171999943442643,1116
277,0.0002810999867506325,1148
278,0.0002710999979171902,1180
279,0.00028520001797005534,1212
280,0.0006945999921299517,1244
281,0.00030770001467317343,1276
282,0.00028520001797005534,1308
283,0.0002891999902203679,1340
284,0.00028830001247115433,1372
285,0.00027379998937249184,1404
286,0.00026050000451505184,1436
287,0.0002587999915704131,1468
288,0.000291000003926456,1500
289,0.00033299997448921204,1532
290,0.00028459998429752886,1564
291,0.00035769998794421554,1596
292,0.000773799984017387,1628
293,0.00031269999453797936,1660
294,0.00028580002253875136,1692
295,0.00027249997947365046,1724
296,0.00029460000223480165,1756
297,0.0002759000053629279,1788
298,0.00028029998065903783,1820
299,0.00027889999910257757,1852
300,0.00030429998878389597,1884
301,0.0003029000072274357,1916
302,0.0002875999780371785,1948
303,0.00030899999546818435,1980
304,0.0003003000165335834,2012
305,0.0003501000173855573,2044
306,0.00035089999437332153,2076
307,0.0003521000035107136,2108
308,0.00035360001493245363,2140
